T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
4;0,28227;0,082038;-1,062377;1,129454;0,002361;0,000051
4,2;0,279063;0,081365;-1,06228;1,129431;0,003489;0,000056
4,4;0,305615;0,095255;-1,075395;1,157349;0,001854;0,000045
4,6;0,313164;0,099105;-1,078739;1,164248;0,001033;0,000027
4,8;0,29815;0,091031;-1,070003;1,145793;0,002138;0,000038
5;0,298971;0,092849;-1,072414;1,151164;0,003465;0,000044
5,2;0,298002;0,091467;-1,0716;1,149298;0,002662;0,000036
5,4;0,299139;0,091237;-1,069646;1,144996;0,001753;0,000029
5,6;0,294779;0,08945;-1,069849;1,145431;0,002555;0,000027
5,8;0,304347;0,09461;-1,074182;1,154765;0,001983;0,000027
6;0,301857;0,092744;-1,073608;1,153358;0,001626;0,00002
