T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
0.5;0.263451;0.074849;-1.04826;1.100628;0.005442;0.00712
1;0.236522;0.064686;-1.036966;1.077412;0.008744;0.002113
1.5;0.257081;0.072846;-1.0446;1.093147;0.006756;0.000871
2;0.257065;0.076662;-1.048453;1.101862;0.01058;0.000652
2.5;0.232744;0.062259;-1.033451;1.069946;0.008089;0.000308
3;0.28408;0.084135;-1.053915;1.112473;0.003433;0.000193
3.5;0.248006;0.069408;-1.039765;1.083208;0.007901;0.000171
4;0.27541;0.080097;-1.050051;1.104168;0.004247;0.000098
4.5;0.260643;0.075882;-1.045381;1.094977;0.007947;0.000106
5;0.243981;0.068151;-1.038653;1.080924;0.008624;0.000085
5.5;0.277121;0.081732;-1.051562;1.107541;0.004937;0.000058
6;0.246656;0.066548;-1.038226;1.079568;0.005709;0.000046
