T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
4;0.590198;0.348359;-1.444514;2.086706;0.000006;0.000005
4.02;0.57959;0.33607;-1.444702;2.087241;0.000036;0.000005
4.04;0.529883;0.281103;-1.416923;2.007871;0.000081;0.000012
4.06;0.587086;0.344831;-1.464976;2.146211;0.00004;0.000003
4.08;0.551765;0.304591;-1.400635;1.962104;0.000036;0.000019
4.1;0.55028;0.30307;-1.410482;1.989632;0.000064;0.00001
4.12;0.550571;0.303358;-1.393294;1.94186;0.000056;0.000035
4.14;0.565655;0.320226;-1.395853;1.948726;0.000063;0.000019
4.16;0.574075;0.329831;-1.408481;1.984133;0.000064;0.000018
4.18;0.570684;0.325899;-1.423546;2.026883;0.000052;0.000023
4.2;0.619945;0.384389;-1.514531;2.294125;0.000014;0.000018
4.22;0.545109;0.297372;-1.414092;2.000679;0.000054;0.000057
4.24;0.555027;0.308289;-1.414223;2.001202;0.000055;0.000065
4.26;0.605453;0.366823;-1.495086;2.236009;0.000059;0.00004
4.28;0.568012;0.323284;-1.428321;2.042027;0.000151;0.000105
4.3;0.559349;0.313624;-1.410981;1.993026;0.000175;0.000117
4.32;0.534918;0.286933;-1.369087;1.876827;0.000184;0.00013
4.34;0.551194;0.305238;-1.39621;1.953648;0.000328;0.000225
4.36;0.504417;0.25737;-1.317771;1.742704;0.000673;0.000325
4.38;0.512468;0.266424;-1.313907;1.733308;0.000868;0.000363
4.4;0.512596;0.269297;-1.337637;1.805544;0.001487;0.000841
4.42;0.44727;0.20779;-1.231397;1.526594;0.001751;0.000525
4.44;0.424985;0.18875;-1.196573;1.442532;0.001833;0.000545
4.46;0.379158;0.155844;-1.148304;1.330229;0.002709;0.000584
4.48;0.332848;0.126716;-1.099269;1.219396;0.003555;0.000548
4.5;0.273379;0.091043;-1.046152;1.103895;0.003624;0.000467
4.52;0.225518;0.067643;-1.013175;1.034357;0.003713;0.000383
4.54;0.218325;0.060507;-0.989527;0.985756;0.002828;0.00032
4.56;0.192601;0.04959;-0.967928;0.942829;0.00274;0.000286
4.58;0.159337;0.036682;-0.945049;0.897802;0.002466;0.000223
4.6;0.140515;0.029614;-0.925359;0.860335;0.002146;0.000191
4.62;0.117795;0.021501;-0.903494;0.819898;0.001651;0.000168
4.64;0.122324;0.022687;-0.901651;0.816361;0.001665;0.000157
4.66;0.105072;0.017377;-0.883524;0.783859;0.00136;0.000149
4.68;0.09216;0.013162;-0.867559;0.755037;0.000997;0.000109
4.7;0.104453;0.015566;-0.86887;0.757109;0.00099;0.000098
4.72;0.093242;0.013018;-0.86242;0.745784;0.000916;0.00009
4.74;0.083586;0.010519;-0.85532;0.733492;0.000745;0.000085
4.76;0.087743;0.011953;-0.852231;0.727852;0.000894;0.000069
4.78;0.100367;0.01372;-0.841087;0.709125;0.000763;0.000074
4.8;0.111525;0.017359;-0.862462;0.744786;0.001025;0.000041
4.82;0.079735;0.009292;-0.825224;0.682378;0.000609;0.00006
4.84;0.074854;0.008499;-0.821526;0.675998;0.000598;0.000047
4.86;0.083671;0.009531;-0.819165;0.672138;0.000521;0.000047
4.88;0.061214;0.005025;-0.822947;0.678185;0.000262;0.00004
4.9;0.084882;0.008459;-0.807443;0.653116;0.000256;0.000048
4.92;0.064943;0.0062;-0.810063;0.656937;0.000403;0.00003
4.94;0.051804;0.004848;-0.81409;0.663489;0.000438;0.000031
4.96;0.087093;0.010019;-0.819537;0.672161;0.000491;0.000021
4.98;0.033031;0.001134;-0.732595;0.536852;0.000009;0.000006
