T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
4;0.40417;0.163663;-1.169694;1.368543;0.00031;0.000022
4.2;0.403579;0.163202;-1.169531;1.36815;0.000326;0.00002
4.4;0.405227;0.164493;-1.17073;1.370964;0.000284;0.000018
4.6;0.406293;0.165323;-1.171323;1.372309;0.000249;0.000015
4.8;0.405814;0.165018;-1.171134;1.371915;0.000333;0.000016
5;0.399123;0.159621;-1.165315;1.358311;0.000322;0.000014
5.2;0.403701;0.163317;-1.169208;1.367435;0.000342;0.000014
5.4;0.402462;0.162297;-1.168628;1.36605;0.000322;0.000012
5.6;0.401905;0.161838;-1.167704;1.36389;0.00031;0.000011
5.8;0.402145;0.162135;-1.168142;1.364969;0.000415;0.000012
6;0.401789;0.161819;-1.167572;1.363617;0.000385;0.000011
