T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
4;0.744215;0.557739;-1.885236;3.587707;0.000971;0.002099
4.02;0.741452;0.552859;-1.871276;3.526878;0.000773;0.00156
4.04;0.736513;0.547347;-1.855274;3.48073;0.001212;0.00237
4.06;0.677374;0.463053;-1.689567;2.881462;0.001039;0.001627
4.08;0.680645;0.467415;-1.69554;2.899607;0.001014;0.001487
4.1;0.693259;0.487144;-1.726917;3.02256;0.001594;0.002398
4.12;0.692743;0.487249;-1.726784;3.025708;0.001786;0.002588
4.14;0.691965;0.487057;-1.728221;3.039172;0.001991;0.003059
4.16;0.671062;0.45976;-1.678059;2.868683;0.002268;0.003051
4.18;0.663672;0.450761;-1.655836;2.798041;0.002464;0.003219
4.2;0.63794;0.416747;-1.585733;2.556712;0.002328;0.00239
4.22;0.631716;0.410645;-1.57966;2.55367;0.002744;0.003276
4.24;0.62753;0.405788;-1.567517;2.512089;0.002829;0.003058
4.26;0.614036;0.391492;-1.537921;2.428048;0.003393;0.003463
4.28;0.590127;0.364417;-1.481355;2.253013;0.003777;0.003199
4.3;0.562254;0.336662;-1.437831;2.131239;0.004775;0.003455
4.32;0.555066;0.327757;-1.413492;2.057949;0.004551;0.003214
4.34;0.543797;0.315476;-1.387402;1.989073;0.004553;0.003408
4.36;0.533249;0.307533;-1.37466;1.956651;0.005316;0.003522
4.38;0.511236;0.285207;-1.328974;1.827828;0.005444;0.003214
4.4;0.479392;0.256986;-1.274676;1.68985;0.006175;0.00336
4.42;0.474448;0.253121;-1.265373;1.666687;0.006339;0.003354
4.44;0.43949;0.220835;-1.206317;1.513852;0.006235;0.002975
4.46;0.41403;0.20302;-1.169215;1.429573;0.007085;0.003142
4.48;0.396233;0.188507;-1.142716;1.366127;0.007033;0.003006
4.5;0.375116;0.173733;-1.114755;1.300167;0.007338;0.002839
4.52;0.365468;0.162776;-1.093355;1.246852;0.006462;0.002517
4.54;0.34375;0.149052;-1.062105;1.178986;0.006803;0.00247
4.56;0.344167;0.14707;-1.056422;1.162272;0.006276;0.002224
4.58;0.303544;0.121146;-1.007491;1.056856;0.006334;0.001994
4.6;0.292335;0.114985;-0.993725;1.030791;0.006419;0.002046
4.62;0.286557;0.112099;-0.980574;1.004607;0.00649;0.002018
4.64;0.263708;0.096187;-0.954354;0.946661;0.005743;0.001666
4.66;0.249952;0.086653;-0.929321;0.897462;0.005188;0.001558
4.68;0.236142;0.079366;-0.912398;0.864371;0.005043;0.001457
4.7;0.239467;0.080802;-0.90896;0.856839;0.004991;0.001387
4.72;0.225993;0.072753;-0.891388;0.821859;0.004593;0.001225
4.74;0.220378;0.070223;-0.884543;0.810459;0.004569;0.001248
4.76;0.219146;0.068165;-0.878173;0.796076;0.004231;0.001098
4.78;0.208995;0.063434;-0.861891;0.768963;0.004133;0.001143
4.8;0.203135;0.061146;-0.855471;0.757202;0.004142;0.001101
4.82;0.18848;0.052407;-0.838762;0.726301;0.003503;0.000981
4.84;0.197998;0.055559;-0.834103;0.716968;0.003379;0.000907
4.86;0.180075;0.048656;-0.815306;0.68567;0.003339;0.000887
4.88;0.187999;0.05025;-0.811937;0.680751;0.003055;0.000903
4.9;0.176029;0.045103;-0.806187;0.668205;0.002881;0.000761
4.92;0.177748;0.04611;-0.811213;0.675296;0.00295;0.000712
4.94;0.17424;0.044544;-0.806205;0.665246;0.002871;0.000626
4.96;0.166377;0.040604;-0.787467;0.635972;0.002605;0.000645
4.98;0.157315;0.037352;-0.768098;0.608094;0.002531;0.000731
